1.0164 -1.0200 -0.5159 4.4734 5.0064 -5.4723 -3.0236 -4.9392
-2.5634 -1.9712 -1.7448 1.4063 0.5113 1.4114 0.2813 0.1724
-1.1854 0.5192 -0.0537 1.9212 -0.3982 -0.8197 -2.7050 -1.6507
1.6839 0.5605 -0.9086 4.3824 3.1167 -4.1759 -3.9228 -3.9356
-0.1559 -1.3072 -2.5856 2.5948 2.2323 0.1419 -0.3270 -0.7013
-0.7485 0.5108 -0.1439 2.0747 -0.0787 -1.1464 -2.6834 -1.6966
-1.4190 -0.3914 0.4956 -0.7005 -1.0144 0.7483 0.3586 0.5150
1.0980 0.3029 -0.3835 0.5421 0.7849 -0.5790 -0.2775 -0.3985
1.4882 1.5003 -1.0855 3.8646 1.3768 -2.5606 -4.0956 -2.8619
-0.6606 0.8318 -0.2348 2.0414 -0.3877 -0.8478 -2.9407 -1.6594
-0.1006 -1.3365 -0.0844 3.6177 3.7860 -4.6759 -2.6126 -4.1097
1.7113 3.8626 -1.6548 2.4504 -1.7838 0.5239 -4.8171 -1.3724
1.3054 0.3601 -0.4559 0.6445 0.9332 -0.6884 -0.3299 -0.4738
-1.2612 2.1063 -0.3698 1.4890 -2.8025 1.0981 -3.5546 -0.5440
-1.2647 -0.3488 0.4417 -0.6243 -0.9040 0.6669 0.3196 0.4590
-0.3363 -1.3570 -2.5226 2.5058 2.1034 0.2370 -0.2814 -0.6358
3.1970 -2.3805 -0.8586 6.8889 9.7263 -10.0048 -3.5674 -7.8319
-2.9236 -2.0706 -1.6190 1.2284 0.2538 1.6014 0.3723 0.3032
-0.8550 0.4516 0.0200 1.6643 0.0992 -1.1010 -2.2835 -1.7826
2.5294 -0.4312 -0.9053 5.1609 5.5662 -6.3049 -3.6448 -5.2338
-0.4756 -1.3954 -2.4740 2.4370 2.0038 0.3104 -0.2463 -0.5853
-1.1929 -0.1665 0.3095 1.3059 0.3797 -1.2251 -1.5521 -1.6065
-0.9700 0.5119 -0.0713 2.3760 -0.1529 -1.3496 -2.9874 -1.8448
1.8310 1.4226 -0.9478 3.2273 1.5340 -2.4792 -3.4521 -2.6193
